OBJECTID,PARKID,PARKNAME,NAME_ALT,PARK_ADDR,CITY_MUNI,COUNTY,STATE,PARKSTATUS,WINTER_STS,FUNC_TYPE,LANDOWNER,OWNERTYPE,AGENCYNAME,AGENCYTYPE,YEAROPEN,LANDCOVER,WATERACRES,LAND_ACRES,PARK_ACRES,PLND_ACRES,TRL_MILES,ACQSOURCE,ACQMETHOD,ACQCOMMENT,DEVSOURCE,DEVCOMMENT,RESTRICTS,LWCFPROT,OTHERPROT,RESPRTCMNT,SERVICAREA,MGTPRIORTY,VLTR_OPPS,SPEC_FEAT,PARK_HOURS,PKING_CAP,VISITORCTS,PASSHOLDER,PARK_EMAIL,PARK_PHONE,PARK_URL,MNTCEEMAIL,MNTCEPHONE,DATAAUTHOR,EDITED_BY,EDITED_DT,CREATED_BY,CREATED_DT,ShapeSTArea,ShapeSTLength
239,76045,Eagle Nest Playlot,,Magda Dr. & Nathan Ln.,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,0.32243607,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,1304.85249906,191.167479758975
240,20013,East Bush Lake Park,,9140 East Bush Lake Road,Bloomington,053,MN,Open,Open,,,,Bloomington,05,,,,,38.44682795,,,,,,,,,,,,,,,,Unknown,,,,parksrec@BloomingtonMN.gov,952-563-8700,https://www.bloomingtonmn.gov/pr/parks-and-recreation-department,,,Hennepin County,,,,,155594.86860358,5420.67839032864
241,40011,East Medicine Lake,,1740 E Medicine Lake Boulevard,Plymouth,053,MN,Open,,Community Park,,,Plymouth,05,,,,,12.28900638,,,,,,,,,,,,,,,,7:00am to 9:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,49731.844409825,3112.14741339329
242,22014,East Palmer Park,,71st & Oliver Avenues,Brooklyn Center,053,MN,Open,,,,,Brooklyn Center,05,,,,,16.39972681,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,recreation@ci.brooklyn-center.mn.us,763-569-3400,https://www.brooklyncentermn.gov/government/departments/recreation/parks-trails,,,Brooklyn Center,,,,,66367.33977023,1043.13837801711
243,01060,East Phillips Park,,24th & 17th Ave S.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,6.4384625,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,26055.53332207,690.675194737698
244,01094,East River Parkway,,E River Flats Park to E Franklin Ave,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,93.5686365,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,378658.83754785,8065.73091451722
245,61047,Eden Lake Park,,11700 ANDERSON LAKES PKWY,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,20.93069988,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,84706.34067843,1784.83469590064
246,61052,Eden Valley Park,,16600 DUCK LAKE TRL,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,8.29007113,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,33548.45216004,966.841776580956
247,61033,Edenbrook Conservation Area,,6655 DELL RD,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,234.3120174,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,948252.47250068,9252.19186790339
248,61034,Edenvale Conservation Area,,7200 EDENVALE BLVD,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,142.13498049,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,575164.70373929,10589.0186001065
249,61006,Edenvale Park,,7250 EDENVALE BLVD ,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,33.66532308,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,136242.88031433,2716.62494450976
250,46030,Edgebrook Park,,3920 Pennsylvania Ave S,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,12.38108106,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,50104.4574198,1925.26379997191
251,92011,Edgewater Park,,Intersection of Superior Dr and Edgewater Pkwy,Rogers,053,MN,Open,Open,,,,Rogers Recreation Department,05,,,,,3.31967704,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-428-2253,https://www.rogersmn.gov/parkstovisit,,,Rogers,,,,,13434.25633209,674.570618876796
252,01095,Edgewater Park,,Marshall S & Lowry Ave NE,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,2.56628818,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,10385.39980771,465.207942727243
253,85002,Edgewater Park,,Edgewater & Hickory Ln,Mound,053,MN,Open,Open,,,,Mound,05,,,,,0.27534993,,,,,,,,,,,,,,,,Unknown,,,,,952-472-0600,https://www.cityofmound.com/parks,,,Hennepin County,,,,,1114.30165096,136.146634361703
254,48074,Edgewood Education Center,,6350 Edgewood Avenue,Brooklyn Park,053,MN,Open,,,,,Unknown,97,,,,,11.5141712,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,46596.19767047,864.337926423984
255,48040,Edgewood Park,,6350 Edgewood Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,3.2928414,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,13325.65634994,655.00278284304
256,61007,Edgewood Park,,6950 EDENVALE BLVD ,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,7.20365827,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,29164.97771606,947.337817227948
257,24049,Edinborough Park,,7700 YORK AVE S,Edina,053,MN,Open,Open,,,,Edina,05,,,,,3.18033343,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,12870.352779685,661.593803161929
258,48073,Edinbrook Elementary,,8925 Zane Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,18.56196317,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,75117.599853215,1152.79598608895
259,48029,Edinbrook Park,,2900 Edinbrook Parkway,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,5.68651332,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,23012.50295021,901.842878747823
260,48048,Edinburgh Golf Course,,8700 Edinbrook Parkway,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,172.82727682,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,699407.17518228,9333.46994055158
261,01097,Edward C. Solomon Park,,58th St & 14th Ave,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,45.12640632,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,182620.08721684,1964.09413738673
262,20014,Effa Playlot,,8330 4th Avenue S,Bloomington,053,MN,Open,Open,,,,Bloomington,05,,,,,0.7058895,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,parksrec@BloomingtonMN.gov,952-563-8700,https://www.bloomingtonmn.gov/pr/parks-and-recreation-department,,,Hennepin County,,,,,2856.63345524,219.824860428254
263,48022,Eidem Historical Farm,,4345 101st Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,19.15928853,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,77534.88982053,1415.48890701857
264,20086,Eight Crest Playlot,,18th Ave S & 89th St E,Bloomington,053,MN,Open,Open,,,,Bloomington,05,,,,,1.6341728,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,parksrec@BloomingtonMN.gov,952-563-8700,https://www.bloomingtonmn.gov/pr/parks-and-recreation-department,,,Hennepin County,,,,,6613.26267964,493.062284462621
265,46029,Elie Park,,3429 Xylon Ave S,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,2.6480544,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,10716.29595656,420.288137084849
266,01009,Elliot Park,,1000 E. 14th St.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,6.41581661,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,25963.888673145,682.000857353831
267,76066,Elm Creek Forest Linear Park,,Dunkirk Ln and Notthngham Pkwy,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,2.04964199,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,8294.60686862,1058.20253362562
268,02011,Elm Creek Park Reserve,Elm Creek Park Reserve,12400 Elm Creek Park Drive,Maple Grove,053,MN,Open,Open,Park Reserve,,,Three Rivers Park District,04,,,,,5235.68547447,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,763-559-9000,https://www.threeriversparks.org/locations,,,Three Rivers Park District,,,,,21188067.3806825,41327.93780455
269,40032,Elm Creek Playfield,,4905 Peony Lane N,Plymouth,053,MN,Open,,Playfield,,,Plymouth,05,,,,,37.25300401,,,,,,,,,,,,,,,,7:00am to 10:30pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,150757.556497495,1583.69686281053
270,76009,Elm Creek School Community Playfield,,9820 Revere La N,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,25.00892025,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,101207.50954522,1296.78830564436
271,50007,Elm Creek Terrace Park,,50 Trussel Park,Champlin,053,MN,Open,,,,,Champlin,05,,,,,1.32406297,,,,,,,,,,,,,,,,Sunrise to 10:30pm,,,,recreation@ci.champlin.mn.us,763-421-8100,https://ci.champlin.mn.us/255/City-Parks-Trails,,,Champlin,,,,,5358.2927361,320.482275554252
272,76067,Elm Creek Valley Linear Park,,Bass Lake Rd and Nottingham Pkwy,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,18.36391348,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,74336.77221705,3590.3580254932
273,40057,Elm Creek Woods,,5315 Peony Lane N,Plymouth,053,MN,Open,,Natural Areas & Open Space,,,Plymouth,05,,,,,57.45145379,,,,,,,,,,,,,,,,7:00am to 10:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,232497.784758755,2138.58643430078
274,86001,Elm Grove Park,,5500 Quebec Av N,New Hope,053,MN,Open,Open,,,,New Hope,05,,,,,1.47563849,,,,,,,,,,,,,,,,Unknown,,,,,763-531-5100,https://www.ci.new-hope.mn.us/city_hall/parks_and_recreation/parks_and_trails,,,Hennepin County,,,,,5971.69711134,324.094239999916
275,30013,Elmo Park,,1401 Elmo Park Service Rd,Hopkins,053,MN,Open,Open,,,,Hopkins,05,,,,,0.62054406,,,,,,,,,,,,,,,,Unknown,,,,,952-935-8474,https://www.hopkinsmn.com/Facilities?clear=False,,,Hennepin County,,,,,2511.25270996,281.046664681749
276,34003,Elmwood-Strand,,3610 Elmwood Place,Minnetonka,053,MN,Open,Open,,,,Minnetonka,05,,,,,0.31355349,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,952-939-8200,https://www.minnetonkamn.gov/our-city/parks-trails/minnetonka-parks,,,Minnetonka,,,,,1268.905966725,161.202463255956
277,56013,Elsie Stephens Park,,Undeveloped,Dayton,053,MN,Open,Open,,,,Dayton,05,,,,,21.49909767,,,,,,,,,,,,,,,,Unknown,,,,,763-427-4589,https://cityofdaytonmn.com/departments/parksrec/parks/,,,Hennepin County,,,,,87003.76147308,1426.07360765105
278,48008,Emerson Woods Park,,8321 Emerson Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,7.77505669,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,31464.53809132,797.404008664606
279,50033,Emery Farms Park,,11780 Emery Village Dr N,Champlin,053,MN,Open,,,,,Champlin,05,,,,,1.12077671,,,,,,,,,,,,,,,,Sunrise to 10:30pm,,,,recreation@ci.champlin.mn.us,763-421-8100,https://ci.champlin.mn.us/255/City-Parks-Trails,,,Champlin,,,,,4535.62240802,306.173502794683
280,48024,Environmental Nature Area,,10201 West River Road,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,116.8460056,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,472859.0082072,4601.83187066887
281,92015,Erickson Park,,12297 Fletcher Dr,Rogers,053,MN,Open,Open,,,,Rogers Recreation Department,05,,,,,0.96880899,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-428-2253,https://www.rogersmn.gov/parkstovisit,,,Rogers,,,,,3920.63089186,261.76026425956
282,22002,Evergreen Park,,72nd & Bryant Avenues,Brooklyn Center,053,MN,Open,,,,,Brooklyn Center,05,,,,,18.62356368,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,recreation@ci.brooklyn-center.mn.us,763-569-3400,https://www.brooklyncentermn.gov/government/departments/recreation/parks-trails,,,Brooklyn Center,,,,,75366.88830058,1188.17753453027
283,50006,Evergreen Park,,11304 Edgewood Ave N,Champlin,053,MN,Open,,,,,Champlin,05,,,,,4.50474106,,,,,,,,,,,,,,,,Sunrise to 10:30pm,,,,recreation@ci.champlin.mn.us,763-421-8100,https://ci.champlin.mn.us/255/City-Parks-Trails,,,Champlin,,,,,18230.04026992,766.334055446821
284,63002,Excelsior Parkland,,339 3rd St.,Excelsior,053,MN,Open,Open,,,,Excelsior,05,,,,,15.22529097,,,,,,,,,,,,,,,,Unknown,,,,,952-474-5233,https://www.ci.excelsior.mn.us/122/Parks-Recreation,,,Hennepin County,,,,,61614.56654676,1417.46058853483
285,48067,Fair Oaks Elementary,,6600 Zane Avenue North,Brooklyn Park,053,MN,Open,,,,,Unknown,97,,,,,13.10667762,,,,,,,,,,,,,,,,Unknown,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,53040.84250526,972.769084865347
286,48036,Fair Oaks Park,,6600 Zane Avenue North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,7.63803688,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,30910.03833676,723.737963988288
287,54021,Fair School,,3915 Adair Ave N,Crystal,053,MN,Open,Open,,,,Crystal,05,,,,,9.90448923,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,Crystal.Recreation@crystalmn.gov,763-531-1000,https://parksrecreation.hosted.civiclive.com/cms/One.aspx?portalId=11785244&pageId=11911153,,,Hennepin County,,,,,40082.04587042,876.628221054387
288,40071,Fairway Greens,,15455 55th Avenue N,Plymouth,053,MN,Open,,Neighborhood & Mini Park,,,Plymouth,05,,,,,6.45770341,,,,,,,,,,,,,,,,7:00am to 10:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,26133.399175915,879.808277577347
289,42009,Fairwood Park,,6700 Logan Ave,Richfield,053,MN,Open,,,,,Richfield,05,,,,,2.47721764,,,,,,,,,,,,,,,,Unknown,,,,,612-861-9700,https://www.richfieldmn.gov/departments/parks_and_recreation/parks/index.php,,,Richfield,,,,,10024.94413283,564.715730302186
290,01090,Farview Park,,609 29th Ave N.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,21.09100411,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,85352.26544219,1208.66184830008
291,01002,Farwell Park,,2512 12th Ave. N.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,1.14014302,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,4613.995118415,267.573491618788
292,01055,Father Hennepin Bluffs Park,,Main St & 6th Ave SE,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,7.9003007,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,31971.382623235,1117.21938732454
293,40016,Fazendin,,17040 24th Avenue N,Plymouth,053,MN,Open,,Neighborhood & Mini Park,,,Plymouth,05,,,,,9.69082615,,,,,,,,,,,,,,,,7:00am to 10:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,39217.38203846,1537.0727443032
294,20015,Fenlason Park,,7901 1st Avenue S,Bloomington,053,MN,Open,Open,,,,Bloomington,05,,,,,2.44431762,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,parksrec@BloomingtonMN.gov,952-563-8700,https://www.bloomingtonmn.gov/pr/parks-and-recreation-department,,,Hennepin County,,,,,9891.80244374,405.463797939945
295,46038,Fern Hill Park,,4421 28th St W,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,5.54199162,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,22427.64439658,721.238711022461
296,76002,Fernbrook School Community Playfield,,9661 Fernbrook La N,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,71.06607741,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,287594.21179326,2723.38699346675
297,40063,Ferndale,,18820 4th Avenue N,Plymouth,053,MN,Open,,Natural Areas & Open Space,,,Plymouth,05,,,,,5.94707525,,,,,,,,,,,,,,,,7:00am to 10:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,24066.92886238,1069.43876359832
298,38022,Ferndale Marsh,,700 Shorline Dr,Orono,053,MN,Open,Open,,,,Nature Conservancy,04,,,,,15.87947436,,,,,,,,,,,,,,,,"Sunrise to Sunset, 5:00am to 10:00pm",,,,,952-249-4600,https://www.oronomn.gov/394/Parks-Golf-Course-Facilities,,,Orono,,,,,64261.952795155,1744.32487351624
299,22007,Firehouse Park,,65th & Bryant Avenues,Brooklyn Center,053,MN,Open,,,,,Brooklyn Center,05,,,,,6.64137603,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,recreation@ci.brooklyn-center.mn.us,763-569-3400,https://www.brooklyncentermn.gov/government/departments/recreation/parks-trails,,,Brooklyn Center,,,,,26876.695231515,742.304709128253
300,76058,Fish Lake East Linear Park,,Dallas Ln and 75th Ave,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,3.93137409,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,15909.70650204,2644.25676428886
301,02010,Fish Lake Regional Park,Fish Lake Regional Park,14900 Bass Lake Road,Maple Grove,053,MN,Open,Open,Regional Park,,,Three Rivers Park District,04,,,,,146.74407658,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,763-559-9000,https://www.threeriversparks.org/locations,,,Three Rivers Park District,,,,,593852.21604306,4695.10471701349
302,76059,Fish Lake West Linear Park,,West Fish Lake Rd and Mariner Rd,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,14.96830253,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,60574.57122276,3943.66354950212
303,76027,Fish Lake Woods Neighborhood Park,,75th Ave. & Berkshire Way,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,8.89893918,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,36012.72915792,1270.11126952791
304,54005,Florida Park,,3811 Florida Ave N,Crystal,053,MN,Open,Open,,,,Crystal,05,,,,,1.11276127,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,Crystal.Recreation@crystalmn.gov,763-531-1000,https://parksrecreation.hosted.civiclive.com/cms/One.aspx?portalId=11785244&pageId=11911153,,,Hennepin County,,,,,4504.79402304,304.900440085629
305,61054,Flying Cloud Drive Dog Park,,7171 FLYING CLOUD DR,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,1.79372351,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,7262.41908092,377.18496248444
306,61008,Flying Cloud Fields,,15219 PIONEER TRL,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,64.53438775,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,261160.87728487,2318.89437745405
307,01016,Folwell Park,,1615 Dowling Ave N,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,26.68413166,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,107986.849598225,1330.04264700506
308,34004,Ford,,2115 Ford Rd,Minnetonka,053,MN,Open,Open,,,,Minnetonka,05,,,,,11.13612449,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,952-939-8200,https://www.minnetonkamn.gov/our-city/parks-trails/minnetonka-parks,,,Minnetonka,,,,,45066.29692138,1124.6323970106
309,61050,Forest Hills Park,,13708 HOLLY RD,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,53.29431101,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,215673.764708045,3974.78720892387
310,54019,Forest School,,7001 48th Ave N,Crystal,053,MN,Open,Open,,,,Crystal,05,,,,,15.40032879,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,Crystal.Recreation@crystalmn.gov,763-531-1000,https://parksrecreation.hosted.civiclive.com/cms/One.aspx?portalId=11785244&pageId=11911153,,,Hennepin County,,,,,62322.91946892,1047.21046875114
311,76007,Forestview Ponds Neighborhood Park,,9800 Forestview Ln.,Maple Grove,053,MN,Open,Open,,,,Maple Grove,05,,,,,7.48842109,,,,,,,,,,,,,,,,6:00am to 11:00pm,,,,,763-494-6000,https://www.maplegrovemn.gov/540/Parks-and-trails,,,Hennepin County,,,,,30304.5650008,711.371729225314
312,01061,Fort Snelling Golf / Park,,Taylor Avenue,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,150.16207389,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,607684.426360815,3645.56093986682
313,41001,Fort Snelling State Park,,Off of Hwy 5 and Post Rd Exit,St. Paul,037,MN,Open,Open,State Park,,,Minnesota DNR,02,,,,,3546.85681119,,,,,,,,,,,,,,,,8:00am to 10:00pm,,,,fortsnelling.statepark@state.mn.us,612-725-2389,https://www.dnr.state.mn.us/state_parks/park.html?id=spk00154#homepage,,,Hennepin County,,,,,14353620.267817,30582.3651419017
314,48001,Founders Park,,10001 Noble Parkway North,Brooklyn Park,053,MN,Open,,,,,Brooklyn Park,05,,,,,11.72378626,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-424-8000,https://www.brooklynpark.org/parks/,,,Brooklyn Park,,,,,47444.47973341,884.616406229502
315,40039,Four Seasons-Meadow,,3780 Pilgrim Lane N & 3710 Union Terrace Lane N,Plymouth,053,MN,Open,,Neighborhood & Mini Park,,,Plymouth,05,,,,,26.64612609,,,,,,,,,,,,,,,,7:00am to 10:00pm,,,,recreation@plymouthmn.gov,763-509-5000,https://www.plymouthmn.gov/departments/parks-recreation-/parks-trails,,,Plymouth,,,,,107833.046486845,5900.58497809347
316,92002,Fox Creek West Park,,13425 Hynes Rd,Rogers,053,MN,Open,Open,,,,Rogers Recreation Department,05,,,,,5.60452614,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,763-428-2253,https://www.rogersmn.gov/parkstovisit,,,Rogers,,,,,22680.71258498,768.544798830512
317,24013,Fox Meadow Park,,5251 Blake Road,Edina,053,MN,Open,Open,,,,Edina,05,,,,,6.0312123,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,24407.45023095,1044.09732034045
318,01018,Franklin Steele Square,,Portland & E. 16th St.,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,1.54465478,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,6250.996123525,309.938885302202
319,61009,Franlo Park,,10245 FRANLO RD,Eden Prairie,053,MN,Open,Open,,,,Eden Prairie,05,,,,,18.9294456,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-949-8300,https://www.edenprairie.org/amenities/parks-trails-recreation/parks,,,City of Eden Prairie,,,,,76604.39611533,1166.95527886387
320,24015,Fred Richards Park,,7640 Parklawn Ave,Edina,053,MN,Open,Open,,,,Edina,05,,,,,43.3905869,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,175595.475278025,2456.89806482316
